Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
01,Hotspot,Hotspot,PiStar,IU4PRC B,IU4PRC G,432.100000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,44.585000,11.235000,+1:00
02,DV Liguria,Borghetto Santo,IR1UGO,IR1UGO B,IR1UGO G,430.525000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.124833,8.254333,+1:00
02,DV Liguria,Borghetto Santo,IR1UGO,IR1UGO C,IR1UGO G,144.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.105833,8.231000,+1:00
02,DV Liguria,Cast. Chiavarese,IR1DC,IR1DC  C,IR1DC  G,144.925000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.275833,9.527167,+1:00
02,DV Liguria,Comeglio,IR1UBY,IR1UBY B,IR1UBY G,430.600000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.258000,9.502000,--:--
02,DV Liguria,Genova,IR1DB,IR1DB  B,IR1DB  G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.407000,8.961000,--:--
02,DV Liguria,Lavagna Genova,IR1UAW,IR1UAW A,IR1UAW G,1243.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
02,DV Liguria,Lavagna Genova,IR1UAW,IR1UAW B,IR1UAW G,430.912500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
02,DV Liguria,Lavagna Genova,IR1UAW,IR1UAW C,IR1UAW G,144.862500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
02,DV Liguria,Montefreddo,IR1UFV,IR1UFV B,IR1UFV G,431.450000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,44.307167,8.337833,--:--
02,DV Liguria,San Giorgio,IQ1LY,IQ1LY  B,IQ1LY  G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.087167,8.217500,--:--
03,FM Liguria,Albenga (SV),RU,,,430.475000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.020833,8.208333,--:--
03,FM Liguria,Bardineto (SV),R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.062500,8.375000,--:--
03,FM Liguria,Bardineto (SV),RU8,,,430.200000,DUP+,5.000000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.125000,--:--
03,FM Liguria,Cilona - Busalla (GE),T,,,145.312500,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.958333,--:--
03,FM Liguria,Cogorno (GE),RU0a,,,430.012500,DUP+,5.000000,FM,OFF,88.5Hz,YES,Approximate,44.312500,9.375000,--:--
03,FM Liguria,Cosseria (SV),R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
03,FM Liguria,Cosseria (SV),RU1,,,430.025000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
03,FM Liguria,Dolcedo (IM),R7,,,145.775000,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,43.895833,7.875000,--:--
03,FM Liguria,Finale Ligure (SV),R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
03,FM Liguria,Finale Ligure (SV),RU7,,,430.175000,DUP+,1.600000,FM,TONE,162.2Hz,YES,Approximate,44.187500,8.375000,--:--
03,FM Liguria,Genova,R1,,,145.625000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.395833,8.958333,--:--
03,FM Liguria,Imperia,R7,,,145.775000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,43.895833,8.041667,--:--
