Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
01,Hotspot,Hotspot,PiStar,xxxxxxxB,xxxxxxxG,433.111,OFF,0.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:00
02,FM Liguria,R0 M.Faudo IM,R0,,,145.600000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,43.895833,7.875000,--:--
02,FM Liguria,R1 Genova GE,R1,,,145.625000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.395833,8.958333,--:--
02,FM Liguria,R1a Cosseria SV,R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
02,FM Liguria,R1a Lorsica GE,R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.437500,9.208333,--:--
02,FM Liguria,R2 M.Bignone IM,R2,,,145.650000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,43.854167,7.708333,--:--
02,FM Liguria,R2a Bardineto SV,R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.062500,8.375000,--:--
02,FM Liguria,R3 M.Beigua SV,R3,,,145.675000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.437500,8.541667,--:--
02,FM Liguria,R3a Tigullio GE,R3a,,,145.687500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
02,FM Liguria,R4 M.Figogna GE,R4,,,145.700000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.437500,8.875000,--:--
02,FM Liguria,R4 Sanremo IM,R4,,,145.700000,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,43.812500,7.708333,--:--
02,FM Liguria,R5 M.Fasce GE,R5,,,145.725000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.395833,9.041667,--:--
02,FM Liguria,R5a Pizzo d'Evigno - Stellanello SV,R5a,,,145.737500,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,44.020833,8.041667,--:--
02,FM Liguria,R6 Rapallo GE,R6,,,145.750000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
02,FM Liguria,R6a M.Tirasso - Alassio SV,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.020833,8.125000,--:--
02,FM Liguria,R7 Dolcedo IM,R7,,,145.775000,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,43.895833,7.875000,--:--
02,FM Liguria,R7 Imperia IM,R7,,,145.775000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,43.895833,8.041667,--:--
02,FM Liguria,R7a Finale Ligure SV,R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
02,FM Liguria,R7a Perinaldo IM,R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,43.854167,7.625000,--:--
02,FM Liguria,RU Albenga SV,RU,,,430.475000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.020833,8.208333,--:--
02,FM Liguria,RU M.Leco GE,RU,,,430.462500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
02,FM Liguria,RU M.Maggio - Savignone GE,RU,,,430.487500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
02,FM Liguria,RU M.Maggio - Savignone GE,RU,,,430.837500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
02,FM Liguria,RU M.Telegrafo - Busalla GE,RU,,,430.625000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
02,FM Liguria,RU Val di Vara SP,RU,,,430.575000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.708333,--:--
02,FM Liguria,RU0a Cogorno GE,RU0a,,,430.012500,DUP+,5.000000,FM,OFF,88.5Hz,YES,Approximate,44.312500,9.375000,--:--
02,FM Liguria,RU1 Cosseria SV,RU1,,,430.025000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.354167,8.208333,--:--
02,FM Liguria,RU11 Sant'Olcese GE,RU11,,,430.275000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.479167,8.958333,--:--
02,FM Liguria,RU15a Val Tanaro IM,RU15a,,,430.387500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
02,FM Liguria,RU2 M.Roveto - Busalla GE,RU2,,,430.050000,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.604167,8.958333,--:--
02,FM Liguria,RU2a Montegrosso Pian Latte IM,RU2a,,,430.062500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.062500,7.791667,--:--
02,FM Liguria,RU3 Spotorno SV,RU3,,,430.075000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.375000,--:--
02,FM Liguria,RU3a San Nicolao SP,RU3a,,,430.087500,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,44.270833,9.541667,--:--
02,FM Liguria,RU5 M.Fasce GE,RU5,,,430.125000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,44.395833,9.125000,--:--
02,FM Liguria,RU6 M.Figogna GE,RU6,,,430.150000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,44.437500,8.875000,--:--
02,FM Liguria,RU7 Finale Ligure SV,RU7,,,430.175000,DUP+,1.600000,FM,TONE,162.2Hz,YES,Approximate,44.187500,8.375000,--:--
02,FM Liguria,RU7 T. Marconi-Sestri Levante GE,RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,44.270833,9.375000,--:--
02,FM Liguria,RU7a Santa Margherita Ligure GE,RU7a,,,430.187500,DUP+,5.000000,FM,TONE,110.9Hz,YES,Approximate,44.354167,9.208333,--:--
02,FM Liguria,RU8 Bardineto SV,RU8,,,430.200000,DUP+,5.000000,FM,OFF,88.5Hz,YES,Approximate,44.187500,8.125000,--:--
02,FM Liguria,RV M.Leco GE,RV,,,145.437500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
02,FM Liguria,RV-1 Val Tanaro IM,RV-1,,,145.575000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.145833,7.958333,--:--
02,FM Liguria,RV-1a M.Roveto-Busalla GE,RV-1a,,,145.587500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,44.604167,8.958333,--:--
02,FM Liguria,T Cilona - Busalla GE,T,,,145.312500,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.958333,--:--
02,FM Liguria,T M.Maggio GE,T,,,145.437500,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,9.041667,--:--
02,FM Liguria,T Masone GE,T,,,144.612500,OFF,0.000000,FM,TONE,82.5Hz,YES,Approximate,44.479167,8.708333,--:--
02,FM Liguria,T Pegli GE,T,,,144.675000,OFF,0.000000,FM,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
02,FM Liguria,T Pegli GE,T,,,433.487500,OFF,0.000000,FM,TONE,162.2Hz,YES,Approximate,44.437500,8.791667,--:--
02,FM Liguria,T Rossiglione GE,T,,,145.212500,OFF,0.000000,FM,TONE,82.5Hz,YES,Approximate,44.562500,8.708333,--:--
02,FM Liguria,T out M.Telegrafo - Busalla GE,T out,,,145.225000,OFF,0.000000,FM,TONE,110.9Hz,YES,Approximate,44.562500,8.875000,--:--
03,FM Piemonte,R0 Cesana Torinese TO,R0,,,145.600000,DUP-,0.600000,FM,TONE,123.0Hz,YES,Approximate,44.937500,6.791667,--:--
03,FM Piemonte,R0 Cossato BI,R0,,,145.600000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.562500,8.208333,--:--
03,FM Piemonte,R0 Frassinetto TO,R0,,,145.600000,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,45.437500,7.625000,--:--
03,FM Piemonte,R0 Prarostino TO,R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.854167,7.291667,--:--
03,FM Piemonte,R0a M. Mottarone VCO,R0a,,,145.612500,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,45.895833,8.458333,--:--
03,FM Piemonte,R1a Asti AT,R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,44.895833,8.208333,--:--
03,FM Piemonte,R2 Aquila di Giaveno TO,R2,,,145.650000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
03,FM Piemonte,R2a Roccaverano AT,R2a,,,145.662500,DUP-,0.600000,FM,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
03,FM Piemonte,R4 Alpe Colombino - Giaveno TO,R4,,,145.700000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
03,FM Piemonte,R4 Pino Torinese TO,R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,45.020833,7.791667,--:--
03,FM Piemonte,R4a M.Dago-Nizza Monferrato AT,R4a,,,145.712500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.687500,8.375000,--:--
03,FM Piemonte,R5 Susa TO,R5,,,145.725000,DUP-,0.600000,FM,TONE,123.0Hz,YES,Approximate,45.145833,7.041667,--:--
03,FM Piemonte,R5a Costigliole d'Asti AT,R5a,,,145.737500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.812500,8.208333,--:--
03,FM Piemonte,R6 Bagnolo Piemonte CN,R6,,,145.750000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
03,FM Piemonte,R6 M.Moncucco VCO,R6,,,145.750000,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,46.104167,8.291667,--:--
03,FM Piemonte,R6a Fracconalto Al,R6a,,,145.762500,DUP-,0.600000,FM,TONE,162.2Hz,YES,Approximate,44.604167,8.875000,--:--
03,FM Piemonte,R6a M.Mottarone VCO,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,45.854167,8.458333,--:--
03,FM Piemonte,R6a Sestriere TO,R6a,,,145.762500,DUP-,0.600000,FM,TONE,107.2Hz,YES,Approximate,44.979167,6.875000,--:--
03,FM Piemonte,R6a Torino TO,R6a,,,145.762500,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
03,FM Piemonte,R7 Stazzano AL,R7,,,145.775000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,44.729167,8.875000,--:--
03,FM Piemonte,RU Bagnolo Piemonte CN,RU,,,430.600000,DUP+,5.000000,FM,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
