Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Africa,Farm Ozondjisse,Namibia,V53DV  B,V53DV  G,439.500000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,-21.210000,16.300000,+1:00
1,Africa,Farm Ozondjisse,Namibia,V53DV  C,V53DV  G,145.600000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-21.210000,16.300000,+1:00
1,Africa,Windhoek,Namibia,V53W   C,V53W   G,145.700000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-22.650000,17.180000,+1:00
1,Africa,Pretoria,S. Afric,ZS0JPL B,ZS0JPL G,438.262500,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,-25.730000,28.270000,+2:00
1,Africa,Pretoria,S. Afric,ZS6MRK B,ZS6MRK G,438.275000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,-25.680000,27.990000,+2:00
1,Africa,Pretoria,S. Afric,ZS6VTS B,ZS6VTS G,438.250000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,-25.750000,28.290000,+2:00
1,Africa,Sandton,S. Afric,ZS6STN C,ZS6STN G,145.825000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-26.100000,28.060000,+2:00
1,Africa,Forli,Emila-Ro,IR4UI  B,IR4UI  G,430.112500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,44.113833,12.004333,+1:00
2,Asia,Shenyang,China,BR2SY  B,BR2SY  G,439.700000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,41.870000,123.390000,+8:00
2,Asia,Shenyang- Liaoni,China,BR2RSA B,BR2RSA G,439.725000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,41.790000,123.360000,+4:30
2,Asia,Troodos Mt.,Cyprus,5B4CY  C,5B4CY  G,145.637500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,34.940000,32.860000,+2:00
2,Asia,Ulsan,Korea- R,6M0UM  B,6M0UM  G,439.500000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.660000,129.340000,+9:00
2,Asia,Taoyuan,Taiwan,BX3AH  B,BX3AH  G,433.337500,DUP+,6.000000,DV,OFF,88.5Hz,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Taoyuan,Taiwan,BX3AH  C,BX3AH  G,144.337500,DUP+,2.000000,DV,OFF,88.5Hz,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Taoyuan,Taiwan,BX4ACB C,BX4ACB G,144.337500,DUP+,2.000000,DV,OFF,88.5Hz,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Bangkok,Thailand,E24DA  B,E24DA  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,13.790000,100.560000,+7:00
2,Asia,Bangkok,Thailand,E24DA  C,E24DA  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,13.790000,100.560000,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  B,E24DG  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,18.830000,99.010000,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  C,E24DG  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,18.830000,99.010000,+7:00
2,Asia,Chonburi,Thailand,E24DC  B,E24DC  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,13.200000,100.950000,+7:00
2,Asia,Chonburi,Thailand,E24DC  C,E24DC  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,13.200000,100.950000,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  B,E24DE  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,16.170000,103.330000,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  C,E24DE  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,16.170000,103.330000,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  B,E24DB  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,14.040000,100.610000,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  C,E24DB  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,14.040000,100.610000,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  B,E24DF  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,16.890000,100.710000,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  C,E24DF  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,16.890000,100.710000,+7:00
2,Asia,Phuket,Thailand,E24DJ  B,E24DJ  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,7.880000,98.370000,+7:00
2,Asia,Phuket,Thailand,E24DJ  C,E24DJ  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,7.880000,98.370000,+7:00
2,Asia,Ranong,Thailand,E24DH  B,E24DH  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,10.040000,98.680000,+7:00
2,Asia,Ranong,Thailand,E24DH  C,E24DH  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,10.040000,98.680000,+7:00
2,Asia,Songkhla,Thailand,E24DI  B,E24DI  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,7.010000,100.510000,+7:00
2,Asia,Songkhla,Thailand,E24DI  C,E24DI  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,7.010000,100.510000,+7:00
2,Asia,Surin,Thailand,E24DD  B,E24DD  G,438.012500,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,14.890000,103.510000,+7:00
2,Asia,Surin,Thailand,E24DD  C,E24DD  G,145.612500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,14.890000,103.510000,+7:00
2,Asia,Istanbul,Turkey,TB1HEC A,TB1HEC G,145.375000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,41.080000,28.900000,+2:00
2,Asia,Sharjah,UAE,A62A   C,A62A   G,145.787500,DUP-,1.000000,DV,OFF,88.5Hz,YES,Approximate,25.280000,55.590000,+4:00
3,Australia,Mt Tamborine,Australi,VK4RDK B,VK4RDK G,438.312500,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-27.990000,153.190000,+10:00
3,Australia,Wongawallan,Australi,VK4RDW B,VK4RDW G,438.350000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-27.880000,153.260000,+10:00
3,Australia,Gosford / Wyong,New Sout,VK2RAG B,VK2RAG G,438.325000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-33.360000,151.300000,+10:00
3,Australia,Gosford / Wyong,New Sout,VK2RAG C,VK2RAG G,146.637500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-33.360000,151.300000,+10:00
3,Australia,North Sydney,New Sout,VK2RWN A,VK2RWN G,1273.700000,DUP+,20.000000,DV,OFF,88.5Hz,YES,Approximate,-33.690000,151.230000,+10:00
3,Australia,North Sydney,New Sout,VK2RWN B,VK2RWN G,438.400000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-33.690000,151.230000,+10:00
3,Australia,North Sydney,New Sout,VK2RWN C,VK2RWN G,146.962500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-33.690000,151.230000,+10:00
3,Australia,Wyee,New Sout,VK2RHK B,VK2RHK G,438.125000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-33.180000,151.500000,+10:00
3,Australia,Darwin,Northern,VK8RAD A,VK8RAD G,1293.400000,DUP-,20.000000,DV,OFF,88.5Hz,YES,Approximate,-12.460000,130.850000,+9:30
3,Australia,Darwin,Northern,VK8RAD B,VK8RAD G,438.750000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,-12.460000,130.850000,+9:30
3,Australia,Darwin,Northern,VK8RAD C,VK8RAD G,146.700000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-12.460000,130.850000,+9:30
3,Australia,Blackwater,Queensla,VK4RBD C,VK4RBD G,146.637500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-23.770000,149.120000,+10:00
3,Australia,Ipswich,Queensla,VK4RBX C,VK4RBX G,146.787500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-27.500000,152.600000,+10:00
3,Australia,Landsborough,Queensla,VK4RDS B,VK4RDS G,438.600000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,-26.770000,152.920000,+10:00
3,Australia,Landsborough,Queensla,VK4RDS C,VK4RDS G,146.737500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-26.770000,152.920000,+10:00
3,Australia,Mackay,Queensla,VK4RBY B,VK4RBY G,438.600000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,-21.060000,149.100000,+10:00
3,Australia,Mackay,Queensla,VK4RBY C,VK4RBY G,146.650000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-21.060000,149.100000,+10:00
3,Australia,Sarina,Queensla,VK4RSA C,VK4RSA G,147.075000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,-21.490000,149.170000,+10:00
3,Australia,Sarina,Queensla,VK4RUS B,VK4RUS G,438.450000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,-21.390000,149.240000,+10:00
3,Australia,Adelaide,South Au,VK5RWN A,VK5RWN G,1273.700000,DUP+,20.000000,DV,OFF,88.5Hz,YES,Approximate,-34.810000,138.750000,+9:30
3,Australia,Adelaide,South Au,VK5RWN B,VK5RWN G,438.400000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-34.810000,138.750000,+9:30
3,Australia,Adelaide,South Au,VK5RWN C,VK5RWN G,147.037500,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,-34.810000,138.750000,+9:30
3,Australia,Port Lincon,South Au,VK5REX B,VK5REX G,438.225000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-34.700000,135.830000,+9:30
3,Australia,Hobart,Tasmania,VK7RCR C,VK7RCR G,146.962500,DUP-,1.600000,DV,OFF,88.5Hz,YES,Approximate,-42.860000,147.280000,+10:00
3,Australia,Richmond,Tasmania,VK7RRR B,VK7RRR G,438.125000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-42.740000,147.430000,+9:30
3,Australia,Wynyard,Tasmania,VK7RAC B,VK7RAC G,438.700000,DUP-,7.000000,DV,OFF,88.5Hz,YES,Approximate,-40.950000,145.730000,+11:00
3,Australia,Melbourne,Victoria,VK3RMC B,VK3RMC G,438.125000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-38.000000,145.330000,+10:00
3,Australia,Melbourne,Victoria,VK3RMC C,VK3RMC G,146.762500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-38.000000,145.330000,+10:00
3,Australia,Melbourne,Victoria,VK3RMM B,VK3RMM G,438.050000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-37.380000,144.580000,+10:00
3,Australia,Melbourne,Victoria,VK3RWN A,VK3RWN G,1273.900000,DUP+,20.000000,DV,OFF,88.5Hz,YES,Approximate,-37.850000,145.370000,+10:00
3,Australia,Melbourne,Victoria,VK3RWN B,VK3RWN G,438.300000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-37.850000,145.370000,+10:00
3,Australia,Melbourne,Victoria,VK3RWN C,VK3RWN G,146.912500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-37.850000,145.370000,+10:00
3,Australia,Portable,Victoria,VK3RWW A,VK3RWW G,1273.850000,DUP+,20.000000,DV,OFF,88.5Hz,YES,Approximate,-36.840000,145.680000,+10:00
3,Australia,Portable,Victoria,VK3RWW B,VK3RWW G,438.150000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-36.840000,145.680000,+10:00
3,Australia,Perth,Western,VK6RWN A,VK6RWN G,1273.900000,DUP+,20.000000,DV,OFF,88.5Hz,YES,Approximate,-31.990000,116.070000,+8:00
3,Australia,Perth,Western,VK6RWN B,VK6RWN G,438.175000,DUP-,5.400000,DV,OFF,88.5Hz,YES,Approximate,-31.990000,116.070000,+8:00
3,Australia,Perth,Western,VK6RWN C,VK6RWN G,146.837500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-31.990000,116.070000,+8:00
4,Canada,Calgary,AB,VA6ACW B,VA6ACW G,445.850000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.130000,-114.250000,-7:00
4,Canada,Calgary,AB,VA6ACW C,VA6ACW G,145.650000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,51.130000,-114.250000,-7:00
4,Canada,Calgary,AB,VE6GHZ A,VE6GHZ G,1287.975000,DUP-,20.000000,DV,OFF,88.5Hz,YES,Approximate,51.140000,-114.160000,-7:00
4,Canada,Calgary,AB,VE6GHZ B,VE6GHZ G,444.950000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,51.140000,-114.160000,-7:00
4,Canada,Calgary,AB,VE6GHZ C,VE6GHZ G,147.090000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,51.140000,-114.160000,-7:00
4,Canada,Calgary,AB,VE6IPG A,VE6IPG G,1275.950000,DUP+,12.000000,DV,OFF,88.5Hz,YES,Approximate,50.970000,-114.070000,-7:00
4,Canada,Calgary,AB,VE6IPG B,VE6IPG G,444.962500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,50.970000,-114.070000,-7:00
4,Canada,Calgary,AB,VE6IPG C,VE6IPG G,147.285000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,50.970000,-114.070000,-7:00
4,Canada,Calgary,AB,VE6WRE B,VE6WRE G,444.825000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,51.040000,-114.160000,-7:00
4,Canada,Calgary,AB,VE6WRN A,VE6WRN G,1287.500000,DUP-,20.000000,DV,OFF,88.5Hz,YES,Approximate,51.080000,-114.210000,-7:00
4,Canada,Calgary,AB,VE6WRN B,VE6WRN G,444.925000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,51.080000,-114.210000,-7:00
4,Canada,Calgary,AB,VE6WRN C,VE6WRN G,146.805000,DUP-,1.200000,DV,OFF,88.5Hz,YES,Approximate,51.080000,-114.210000,-7:00
4,Canada,Edmonton,AB,VA6XG  A,VA6XG  G,1282.000000,DUP-,12.000000,DV,OFF,88.5Hz,YES,Approximate,53.470000,-113.560000,-7:00
4,Canada,Edmonton,AB,VA6XG  B,VA6XG  G,446.475000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.470000,-113.560000,-7:00
4,Canada,Edmonton,AB,VA6XG  C,VA6XG  G,145.710000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,53.470000,-113.560000,-7:00
4,Canada,Edmonton,AB,VE6KM  B,VE6KM  G,444.900000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,53.530000,-113.340000,-7:00
4,Canada,Edmonton,AB,VE6KM  C,VE6KM  G,145.470000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,53.530000,-113.340000,-7:00
4,Canada,Medicine Hat,AB,VA6SRG B,VA6SRG G,444.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.970000,-110.580000,-7:00
4,Canada,Medicine Hat,AB,VE6MHD B,VE6MHD G,445.900000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,50.010000,-110.630000,-7:00
4,Canada,St.Albert,AB,VE6JKB B,VE6JKB G,444.250000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,53.640000,-113.670000,-7:00
4,Canada,Chilliwack,BC,VE7RCK B,VE7RCK G,444.625000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.110000,-121.900000,-8:00
4,Canada,Chilliwack,BC,VE7RCK C,VE7RCK G,145.060000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,49.110000,-121.900000,-8:00
4,Canada,Kelowna,BC,VA7DIG A,VA7DIG G,1247.000000,DUP+,12.000000,DV,OFF,88.5Hz,YES,Approximate,49.880000,-119.460000,-8:00
4,Canada,Kelowna,BC,VA7DIG B,VA7DIG G,440.950000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.880000,-119.460000,-8:00
4,Canada,Kelowna,BC,VA7DIG C,VA7DIG G,145.030000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,49.880000,-119.460000,-8:00
4,Canada,Maple Ridge,BC,VE7RMR B,VE7RMR G,440.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.210000,-122.510000,-8:00
4,Canada,Mt Seymour,BC,VE7RAG A,VE7RAG G,1291.940000,DUP-,20.000000,DV,OFF,88.5Hz,YES,Approximate,49.370000,-122.950000,-8:00
4,Canada,Mt Seymour,BC,VE7RAG B,VE7RAG G,443.400000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.370000,-122.950000,-8:00
4,Canada,Mt Seymour,BC,VE7RAG C,VE7RAG G,147.020000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,49.370000,-122.950000,-8:00
4,Canada,Prince George,BC,VE7RES A,VE7RES G,1291.940000,DUP-,20.000000,DV,OFF,88.5Hz,YES,Approximate,53.900000,-122.760000,-8:00
4,Canada,Prince George,BC,VE7RES B,VE7RES G,442.100000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,53.900000,-122.760000,-8:00
4,Canada,Prince George,BC,VE7RES C,VE7RES G,147.020000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,53.900000,-122.760000,-8:00
4,Canada,Richmond,BC,VA7REF C,VA7REF G,144.930000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,49.180000,-122.960000,-8:00
4,Canada,Vancouver,BC,VA7ICM A,VA7ICM G,1247.000000,DUP+,12.000000,DV,OFF,88.5Hz,YES,Approximate,49.190000,-122.830000,-8:00
4,Canada,Vancouver,BC,VA7ICM B,VA7ICM G,442.000000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.190000,-122.830000,-8:00
4,Canada,Vancouver,BC,VA7ICM C,VA7ICM G,145.040000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,49.190000,-122.830000,-8:00
4,Canada,Victoria,BC,VE7VIC C,VE7VIC G,145.080000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,48.500000,-123.500000,-8:00
4,Canada,Whistler,BC,VA7WHI C,VA7WHI G,146.220000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,50.120000,-122.960000,-8:00
4,Canada,Winnipeg,MB,VE4UMR B,VE4UMR G,443.275000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,32.970000,-96.440000,-6:00
4,Canada,Winnipeg,MB,VE4WDR B,VE4WDR G,444.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,49.880000,-97.150000,-6:00
4,Canada,Winnipeg,MB,VE4WDR C,VE4WDR G,145.490000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,49.880000,-97.150000,-6:00
4,Canada,St Johns,NL,VO1TZ  B,VO1TZ  G,443.400000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,47.530000,-52.840000,-3:00
4,Canada,St Johns,NL,VO1TZ  C,VO1TZ  G,145.090000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,47.530000,-52.840000,-3:00
4,Canada,Antigonish,NS,VE1JSR B,VE1JSR G,441.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.620000,-61.970000,-2:00
4,Canada,Biblehill,NS,VE1DNR A,VE1DNR G,1247.000000,DUP+,12.000000,DV,OFF,88.5Hz,YES,Approximate,45.380000,-63.230000,-5:00
4,Canada,Biblehill,NS,VE1DNR B,VE1DNR G,442.000000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.380000,-63.230000,-5:00
4,Canada,Biblehill,NS,VE1DNR C,VE1DNR G,144.950000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,45.380000,-63.230000,-5:00
4,Canada,Almonte,ON,VA3AAR A,VA3AAR G,1281.000000,DUP-,12.000000,DV,OFF,88.5Hz,YES,Approximate,45.170000,-76.290000,-5:00
4,Canada,Almonte,ON,VA3AAR B,VA3AAR G,444.100000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.170000,-76.290000,-5:00
4,Canada,Almonte,ON,VA3AAR C,VA3AAR G,145.550000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,45.170000,-76.290000,-5:00
4,Canada,Burlington,ON,VE3RSB B,VE3RSB G,442.037500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.360000,-79.860000,-5:00
4,Canada,Cornwall,ON,VA3SDG B,VA3SDG G,444.450000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.040000,-74.740000,-5:00
4,Canada,Cornwall,ON,VA3SDG C,VA3SDG G,145.570000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,45.040000,-74.740000,-5:00
4,Canada,Fonthill- ON,ON,VE3PLF B,VE3PLF G,444.725000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.050000,-79.300000,-5:00
4,Canada,Hamilton,ON,VE3WIK B,VE3WIK G,443.637500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.390000,-79.970000,-5:00
4,Canada,Hamilton,ON,VE3WIK C,VE3WIK G,145.330000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,43.390000,-79.970000,-5:00
4,Canada,Leamington,ON,VE3LNK C,VE3LNK G,145.690000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,42.060000,-82.600000,-5:00
4,Canada,Little Current,ON,VE3RXR B,VE3RXR G,442.050000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.960000,-81.930000,-5:00
4,Canada,Little Current,ON,VE3RXR C,VE3RXR G,145.310000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,45.960000,-81.930000,-5:00
4,Canada,London,ON,VE3TTT B,VE3TTT G,442.300000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,42.990000,-81.240000,-5:00
4,Canada,Maple,ON,VA3ITL B,VA3ITL G,442.212500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,44.110000,-79.190000,-5:00
4,Canada,Mississauga,ON,VA3PMO B,VA3PMO G,444.250000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.590000,-79.640000,-5:00
4,Canada,Mississauga,ON,VE3RSD B,VE3RSD G,443.812500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.600000,-79.780000,-5:00
4,Canada,Mississauga,ON,VE3RSD C,VE3RSD G,147.540000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,43.600000,-79.780000,-5:00
4,Canada,Mt.St. Patrick,ON,VE3STP A,VE3STP G,1282.450000,DUP-,12.000000,DV,OFF,88.5Hz,YES,Approximate,45.310000,-76.900000,-5:00
4,Canada,Mt.St. Patrick,ON,VE3STP B,VE3STP G,443.812500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.310000,-76.900000,-5:00
4,Canada,Mt.St. Patrick,ON,VE3STP C,VE3STP G,147.540000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,45.310000,-76.900000,-5:00
4,Canada,Newmarket,ON,VE3YRK B,VE3YRK G,444.512500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,44.060000,-79.450000,-5:00
4,Canada,Newmarket,ON,VE3YRK C,VE3YRK G,147.180000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,44.060000,-79.450000,-5:00
4,Canada,Niagara on the L,ON,VA3NAG A,VA3NAG G,1282.500000,DUP-,12.000000,DV,OFF,88.5Hz,YES,Approximate,43.220000,-79.130000,-5:00
4,Canada,Niagara on the L,ON,VA3YYZ B,VA3YYZ G,442.687500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,43.220000,-79.130000,-5:00
4,Canada,Niagara on the L,ON,VA3YYZ C,VA3YYZ G,144.930000,DUP+,0.600000,DV,OFF,88.5Hz,YES,Approximate,43.220000,-79.130000,-5:00
4,Canada,Norfolk,ON,VE3HJ  B,VE3HJ  G,444.550000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,42.930000,-80.280000,-5:00
4,Canada,Ottawa,ON,VA3ODG A,VA3ODG G,1282.000000,DUP-,12.000000,DV,OFF,88.5Hz,YES,Approximate,45.420000,-75.680000,-5:00
4,Canada,Ottawa,ON,VA3ODG B,VA3ODG G,444.850000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.420000,-75.680000,-5:00
4,Canada,Ottawa,ON,VA3ODG C,VA3ODG G,145.530000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,45.420000,-75.680000,-5:00
4,Canada,Ottawa,ON,VE3FSR B,VE3FSR G,445.860000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,45.290000,-75.840000,-5:00
