Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Italy,Sezze,Lazio,IZ0RIM B,IZ0RIM G,430.437500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.492000,13.079500,+1:00
1,Italy,Anzio,Lazio,IR0MA  B,IR0MA  G,430.006250,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:00
1,Italy,Roma,Lazio,IR0MA  A,IR0MA  G,1297.450000,DUP-,28.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,+1:00
1,Italy,Pomezia,Lazio,IZ0RIN B,IZ0RIN G,430.312500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.680833,12.506500,+1:00
1,Italy,Carpineto,Lazio,IU0EUJ C,IU0EUJ G,145.512500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,41.605500,13.081000,+1:00
1,Italy,Farnese,Lazio,IR0UHW B,IR0UHW G,433.700000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,42.012333,12.340333,+1:00
1,Italy,Carpineto,Lazio,IU0EUJ B,IU0EUJ G,435.025000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.605500,13.086000,+1:00
1,Italy,Farnese,Lazio,IZ0CGG B,IZ0CGG G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,42.012333,12.340333,+1:00
1,Italy,Roma,Lazio,IW0FXN B,IW0FXN G,435.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.916333,12.436667,+1:00
1,Italy,Roma,Lazio,IR0UIV B,IR0UIV G,430.850000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.856000,12.665000,+1:00
1,Italy,Roma,Lazio,IZ0DFP B,IZ0DFP G,431.525000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.846500,12.484000,+1:00
1,Italy,Terni,Umbria,I0KMJ  B,I0KMJ  G,433.650000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,42.554000,12.666500,+1:00
1,Italy,Perugia,Umbria,IZ0RTB B,IZ0RTB G,430.050000,DUP+,4.900000,DV,OFF,88.5Hz,YES,Exact,43.102167,12.310167,--:--
1,Italy,Calvi,Lazio,IU0DLI B,IU0DLI G,430.000000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.274167,13.508667,--:--
1,Italy,Gallinaro,Lazio,IW0EFI B,IW0EFI G,435.300000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.657833,13.798000,--:--
1,Italy,Roma,Lazio,IZ0OWE B,IZ0OWE G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,41.914333,12.527667,--:--
1,Italy,Campo Staffi,Abruzzo,IR0UFJ B,IR0UFJ G,430.825000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,41.928667,13.336333,--:--
1,Italy,Cast. Chiavarese,Liguria,IR1DC  C,IR1DC  G,144.925000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.275833,9.527167,+1:00
1,Italy,Lavagna Genova,Liguria,IR1UAW C,IR1UAW G,144.862500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
1,Italy,Lavagna Genova,Liguria,IR1UAW B,IR1UAW G,430.912500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
1,Italy,Lavagna Genova,Liguria,IR1UAW A,IR1UAW G,1243.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
1,Italy,Borghetto Santo,Liguria,IR1UGO B,IR1UGO G,430.525000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.124833,8.254333,+1:00
1,Italy,Borghetto Santo,Liguria,IR1UGO C,IR1UGO G,144.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.105833,8.231000,+1:00
