;HotSpot;144.725,0;0;;1x v.aosta;AO;Sarre (AO) ;C4FM;IX1VGS;31672;;JN35PR;152;281;001;;ix1vgs;;;;;;;;;;
;HotSpot;144.825,0;0;;1x v.aosta;AO;Courmayeur (AO);C4FM;IX1FYM;;WIRES-X;JN35LS;178;281;001;;ix1fym;;;;;;;;;;
;R0;145.600,0;-600 kHz;74.4;1x v.aosta;AO;Courmayeur (AO);;;;;JN35LS;178;281;001;;ari valle d'aosta;;;;;;;;;;
;R6;145.750,0;-600 kHz;74.4;1x v.aosta;AO;Saint Vincent (AO);;;;;JN35TS;127;285;001;;ari aosta  ix1gdu;;;;;;;;;;
;RU12;430.300,0;+5.0 MHz;74.4;1x v.aosta;AO;Sarre (AO);DMR;IQ1VD;;BRANDMEISTER;JN35PR;152;281;001;;ix1vgs;;;;;;;;;;
;HotSpot;433.450,0;0;;1x v.aosta;AO;Aosta;C4FM;IX1VKK;;WIRES-X;JN35PR;152;281;001;;ix1vkk;;;;;;;;;;
;50 MHz;50.480,0;+500 kHz;123.0;1 piemonte;BI;Biella;;;;Val Dora;JN35XM;97;273;002;;iw1fwu;;;;;;;;;;
;50 MHz;51.850,0;-600 kHz;82.5;1 piemonte;AT;M. Dago - Nizza Monferrato (AL) ;;IR1EF;;;JN44EQ;110;217;002;;ari nizza m.to  iz1njn;;;;;;;;;;
;50 MHz;51.870,0;-600 kHz;82,5;1 piemonte;SV;Murazzano (CN);;IU1HHK;;VHF Paroldo;JN44AL;144;220;002;;iu1hhk;;;;;;;;;;
;T;144.512,5;0;82.5;1 piemonte;AL;Belforte Monferrato (AL);;;;Valle Stura;JN44HO;107;205;002;;ik1hxm;;;;;;;;;;
;E;144.600,0;0;127.3;1 piemonte;TO;Torino;EL;IR1DQ;983646;;JN35UA;128;247;002;;ik1weg;;;;;;;;;;
;HotSpot;144.650,0;0;;1 piemonte;TO;Torino;C4FM;I1HNY;;WIRES-X;JN35TA;134;248;002;;i1hny;;;;;;;;;;
;E;144.700,0;0;114.8;1 piemonte;TO;Sestriere (TO);EL;;229829;Val Susa;JN34KW;192;253;002;;ik1ybm;;;;;;;;;;
;HotSpot;144.862,5;0;;1 piemonte;VC;Vercelli;C4FM;IW1GGS;;WIRES-X;JN45FH;61;253;002;;iw1ggs;;;;;;;;;;
;HotSpot;144.925,0;0; ;1 piemonte;VB;Cannobio (VB);C4FM;IZ1UQG;47964;WIRES-X;JN46IB;76;329;002;;vco radio team;;;;;;;;;;
;HotSpot;144.925,0;0;;1 piemonte;VCO;Gravellona Toce (VCO);C4FM;IW1DBK;44108;WIRES-X;JN45FW;77;311;002;;vco radio team ;;;;;;;;;;
;E;144.937,5;0;82.5;1 piemonte;AL;Losio (AL);EL;IU1FIG;447429;;JN44FO;114;211;002;;cisar genova  iu1fig;;;;;;;;;;
;RV;144.987,5;+1.0 MHz;;1 piemonte;TO;Torino;DS;IR1CJ;; ;JN35UB;126;249;002;;iw1gap;;;;;;;;;;
;E;145.237,5;0;71.9;1 piemonte;AL;M.Giarolo (AL);EL;IR2CY;157311;italink;JN45NR;29;347;002;;ik2bat;;;;;;;;;;
;RV;145.287,5;-600 kHz; ;1 piemonte;AT;Montaldo Scarampi (AT) ;C4FM;IR1DH;;;JN44DT;103;224;002;;iz1jvh;;;;;;;;;;
;HotSpot;145.337,5;0;;1 piemonte;NO;Novara;C4FM;IZ1ONC;;WIRES-X;JN45IL;39;270;002;;iz1onc;;;;;;;;;;
;RV;145.487,5;-600 kHz;82.5;1 piemonte;CN;Paroldo (CN);;IU1HHK;;50Mhz Carcare;JN44AK;148;219;002;;iu1hhk;;;;;;;;;;
;RV-1a;145.587,5;-600 kHz;131.8;1 piemonte;VCO;M. Cimolo (VCO);;;;;JN45HX;72;321;002;;ari verbania;;;;;;;;;;
;R0;145.600,0;-600 kHz;82.5;1 piemonte;BI;Cossato (BI);;;;;JN45CN;78;277;002;;ari trivero;;;;;;;;;;
;R0;145.600,0;-600 kHz;123.0;1 piemonte;TO;Cesana Torinese (TO);;;;Val Dora;JN34JW;199;253;002;;ik1pjl;;;;;;;;;;
;R0;145.600,0;-600 kHz;127.3;1 piemonte;TO;Frassinetto (TO);;;;;JN35TK;123;268;002;;ari rivarolo iz1dsj;;;;;;;;;;
;R0;145.600,0;-600 kHz;88.5;1 piemonte;TO;Prarostino (TO);;;;;JN34PU;165;246;002;;iw1elm;;;;;;;;;;
;R0a;145.612,5;-600 kHz; ;1 piemonte;CN;Alba (CN);C4FM;IR1CL;;WIRES-X;JN44AQ;127;227;002;;ari alba  ;;;;;;;;;;
;R0a;145.612,5;-600 kHz;127.3;1 piemonte;VCO;M. Mottarone (VCO);;;;;JN45FV;74;309;002;;ari novara ik1jjm;;;;;;;;;;
;R1;145.625,0;-600 kHz;82.5;1 piemonte;CN;Mombarcaro (CN);EL;;359040;;JN44BL;140;218;002;;ari cuneo;;;;;;;;;;
;R1a;145.637,5;-600 kHz;88.5;1 piemonte;AT;Asti;;;;;JN44CV;102;231;002;;iz1ezn;;;;;;;;;;
;R1a;145.637,5;-600 kHz;107.2-dcss 266;1 piemonte;TO;Susa (TO);EL;;216142;Sestriere-Susa;JN35MD;173;258;002;;iz1gct;;;;;;;;;;
;R2;145.650,0;-600 kHz;82.5;1 piemonte;TO;Aquila di Giaveno (TO);;IR1CA;;;JN35PA;158;252;002;;ik1vdi -iw1bcw -iw1dni;;;;;;;;;;
;R2a;145.662,5;-600 kHz;127.3;1 piemonte;AT;Roccaverano (AT);;;; ;JN34PS;170;243;002;;jk1jtd;;;;;;;;;;
;R3a;145.687,5;-600 kHz;82.5 ;1 piemonte;AL;Casale Monferrato (AL);EL;;380777;;JN45FD;69;238;002;;ari casale ;;;;;;;;;;
;R3a;145.687,5;-600 kHz;123.0;1 piemonte;TO;Bardonecchia (TO);EL;;275233;Val Dora;JN35IB;201;258;002;;cisar ik1pjl;;;;;;;;;;
;R4;145.700,0;-600 kHz;131.8;1 piemonte;NO;Arona (NO);C4FM;IR1G;;;JN45GS;61;302;002;;ari arona;;;;;;;;;;
;R4;145.700,0;-600 kHz; ;1 piemonte;TO;Pino Torinese (TO);;;;;JN35VA;122;246;002;;ari moncalieri i1ixc;;;;;;;;;;
;R4;145.700,0;-600 kHz;82.5;1 piemonte;TO;Alpe Colombino - Giaveno (TO);;IK1VDI;;;JN35PA;158;252;002;;ik1vdi iw1dni;;;;;;;;;;
;R4a;145.712,5;-600 kHz;82.5 ;1 piemonte;AT;M.Dago-Nizza Monferrato (AT) ;;IR1J;;;JN44EQ;110;217;002;;ari nizza m.to  iz1njn;;;;;;;;;;
;R5;145.725,0;-600 kHz;123.0;1 piemonte;TO;Susa (TO);;;;Val Dora;JN35MD;173;258;002;;ik1pjl;;;;;;;;;;
;R5a;145.737,5;-600 kHz;82.5 ;1 piemonte;AT;Costigliole d'Asti (AT);;;;;JN44CT;108;227;002;;iz1jvh;;;;;;;;;;
