Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Hotspot,Hotspot,PiStar,XXXXXXXB,XXXXXXXG,433.110000,OFF,0.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,--:--
2,1 DV Liguria,Cast. Chiavarese,IR1DC,IR1DC  C,IR1DC  G,144.925000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.275833,9.527167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW C,IR1UAW G,144.862500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW B,IR1UAW G,430.912500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW A,IR1UAW G,1243.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO B,IR1UGO G,430.525000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.124833,8.254333,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO C,IR1UGO G,144.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.105833,8.231000,+1:00
2,1 DV Liguria,Genova,IR1DB,IR1DB  B,IR1DB  G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.407000,8.961000,--:--
2,1 DV Liguria,Comeglio,IR1UBY,IR1UBY B,IR1UBY G,430.600000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.258000,9.502000,--:--
2,1 DV Liguria,San Giorgio,IQ1LY,IQ1LY  B,IQ1LY  G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.087167,8.217500,--:--
2,1 DV Liguria,Montefreddo,IR1UFV,IR1UFV B,IR1UFV G,431.450000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,44.307167,8.337833,--:--
3,1 FM Liguria,Masone (GE),T,,,144.612500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.479167,--:--
3,1 FM Liguria,Pegli (GE),T,,,144.675000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Rossiglione (GE),T,,,145.212500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Telegrafo - Bu,T out,,,145.225000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Cilona - Busalla,T,,,145.312500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,0.000000,--:--
3,1 FM Liguria,M.Leco (GE),RV,,,145.437500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Maggio (GE),T,,,145.437500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Val Tanaro (IM),RV-1,RV 1,,145.575000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.145833,--:--
3,1 FM Liguria,M.Roveto-Busalla,RV-1a,,,145.587500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
3,1 FM Liguria,M.Faudo (IM),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Genova,R1,R1,,145.625000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,Lorsica (GE),R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Cosseria (SV),R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Bignone (IM),R2,,,145.650000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.854167,--:--
3,1 FM Liguria,Bardineto (SV),R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.062500,--:--
3,1 FM Liguria,M.Beigua (SV),R3,R3,,145.675000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Tigullio (GE),R3a,R3A,,145.687500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,M.Figogna (GE),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Sanremo (IM),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.812500,--:--
3,1 FM Liguria,M.Fasce (GE),R5,,,145.725000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,Pizzo d'Evigno -,R5a,,,145.737500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,Rapallo (GE),R6,,,145.750000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Tirasso - Alas,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,Dolcedo (IM),R7,,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Imperia,R7,,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Perinaldo (IM),R7a,R7A,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.854167,--:--
3,1 FM Liguria,Finale Ligure (S,R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Cogorno (GE),RU0a,RU0A,,430.012500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.312500,--:--
3,1 FM Liguria,Cosseria (SV),RU1,,,430.025000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Roveto - Busal,RU2,RU2,,430.050000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
3,1 FM Liguria,Montegrosso Pian,RU2a,,,430.062500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.062500,--:--
3,1 FM Liguria,Spotorno (SV),RU3,,,430.075000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,San Nicolao (SP),RU3a,RU3A,,430.087500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,M.Fasce (GE),RU5,,,430.125000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,M.Figogna (GE),RU6,,,430.150000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,T. Marconi-Sestr,RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,Finale Ligure (S,RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Santa Margherita,RU7a,RU7A,,430.187500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,Bardineto (SV),RU8,RU8,,430.200000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Sant'Olcese (GE),RU11,,,430.275000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.479167,--:--
3,1 FM Liguria,Val Tanaro (IM),RU15a,RU15A,,430.387500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.145833,--:--
3,1 FM Liguria,M.Leco (GE),RU,,,430.462500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Albenga (SV),RU,,,430.475000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,M.Maggio - Savig,RU,,,430.487500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Val di Vara (SP),RU,,,430.575000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Telegrafo - Bu,RU,,,430.625000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Maggio - Savig,RU,,,430.837500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Pegli (GE),T,,,433.487500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
4,1 DV Piemonte,Pallanzeno,IZ1ZPJ,IZ1ZPJ B,IZ1ZPJ G,430.987500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,46.056667,8.262333,--:--
4,1 DV Piemonte,Alice Bel Colle,IR1UIV,IR1UIV B,IR1UIV G,430.875000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.725833,8.451167,--:--
4,1 DV Piemonte,M. Garne' TO,IR1UW,IR1UW  B,IR1UW  G,430.200000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309167,7.418167,+1:00
4,1 DV Piemonte,Corio TO,IR1A,IR1A   B,IR1A   G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.330000,7.546667,--:--
4,1 DV Piemonte,Arona,IW1GB,IW1GB  B,IW1GB  G,430.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.760000,8.549667,--:--
4,1 DV Piemonte,Grugliasco TO,IW1DGK,IW1DGK B,IW1DGK G,433.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.071833,7.598167,--:--
4,1 DV Piemonte,Verzuolo,IZ1RTF,IZ1RTF B,IZ1RTF G,431.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.604167,7.482167,--:--
4,1 DV Piemonte,Cantoira TO,IU1NSW,IU1NSW B,IU1NSW G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.335333,7.390000,--:--
4,1 DV Piemonte,Prarostino TO,IW1GLE,IW1GLE B,IW1GLE G,435.025000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Exact,44.865500,7.269500,--:--
4,1 DV Piemonte,Ceresole TO,IZ1DSJ,IZ1DSJ B,IZ1DSJ G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.427167,7.246667,--:--
4,1 DV Piemonte,Ozzano,IR1UDI,IR1UDI B,IR1UDI G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.122833,8.410167,--:--
4,1 DV Piemonte,Asigliano,IU1NPI,IU1NPI B,IU1NPI G,431.400000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.250000,8.440000,--:--
4,1 DV Piemonte,Lingotto,IU1KWK,IU1KWK B,IU1KWK G,434.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.042833,7.643500,--:--
5,1 FM Piemonte,Belforte Monferr,T,,,144.512500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Paroldo (CN),RV,RV,,145.487500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
5,1 FM Piemonte,M. Cimolo (VCO),RV-1a,RV 1A,,145.587500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.979167,--:--
5,1 FM Piemonte,Cossato (BI),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.562500,--:--
5,1 FM Piemonte,Cesana Torinese,R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.937500,--:--
5,1 FM Piemonte,Frassinetto (TO),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.437500,--:--
5,1 FM Piemonte,Prarostino (TO),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.854167,--:--
5,1 FM Piemonte,M. Mottarone (VC,R0a,R0A,,145.612500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.895833,--:--
5,1 FM Piemonte,Asti,R1a,R1A,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.895833,--:--
5,1 FM Piemonte,Aquila di Giaven,R2,R2,,145.650000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.020833,--:--
