Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,X1 Valle d'Aosta FM,Courmayeur (AO),R0,R0,,145.600000,DUP-,0.600000,FM,74.4,TONE,74.4Hz,YES,Approximate,45.770833,6.958333,--:--
1,X1 Valle d'Aosta FM,Saint Vincent (AO),R6,R6,,145.750000,DUP-,0.600000,FM,74.4,TONE,74.4Hz,YES,Approximate,45.770833,7.625000,--:--
3,1 Piemonte FM,Belforte Monferrato (AL),T,T,,144.512500,OFF,0.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.604167,8.625000,--:--
3,1 Piemonte FM,Paroldo (CN),RV,RV,,145.487500,DUP-,0.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.437500,8.041667,--:--
3,1 Piemonte FM,M. Cimolo (VCO),RV-1a,RV-1a,,145.587500,DUP-,0.600000,FM,131.8,TONE,131.8Hz,YES,Approximate,45.979167,8.625000,--:--
3,1 Piemonte FM,Cossato (BI),R0,R0,,145.600000,DUP-,0.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.562500,8.208333,--:--
3,1 Piemonte FM,Cesana Torinese (TO),R0,R0,,145.600000,DUP-,0.600000,FM,123.0,TONE,123.0Hz,YES,Approximate,44.937500,6.791667,--:--
3,1 Piemonte FM,Frassinetto (TO),R0,R0,,145.600000,DUP-,0.600000,FM,127.3,TONE,127.3Hz,YES,Approximate,45.437500,7.625000,--:--
3,1 Piemonte FM,Prarostino (TO),R0,R0,,145.600000,DUP-,0.600000,FM,88.5,OFF,88.5Hz,YES,Approximate,44.854167,7.291667,--:--
3,1 Piemonte FM,M. Mottarone (VCO),R0a,R0a,,145.612500,DUP-,0.600000,FM,127.3,TONE,127.3Hz,YES,Approximate,45.895833,8.458333,--:--
3,1 Piemonte FM,Asti,R1a,R1a,,145.637500,DUP-,0.600000,FM,88.5,OFF,88.5Hz,YES,Approximate,44.895833,8.208333,--:--
3,1 Piemonte FM,Aquila di Giaveno (TO),R2,R2,,145.650000,DUP-,0.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
3,1 Piemonte FM,Roccaverano (AT),R2a,R2a,,145.662500,DUP-,0.600000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,Pino Torinese (TO),R4,R4,,145.700000,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,45.020833,7.791667,--:--
3,1 Piemonte FM,Alpe Colombino - Giaveno (TO),R4,R4,,145.700000,DUP-,0.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.020833,7.291667,--:--
3,1 Piemonte FM,M.Dago-Nizza Monferrato (AT) ,R4a,R4a,,145.712500,DUP-,0.600000,FM,82.5 ,TONE,82.5Hz,YES,Approximate,44.687500,8.375000,--:--
3,1 Piemonte FM,Susa (TO),R5,R5,,145.725000,DUP-,0.600000,FM,123.0,TONE,123.0Hz,YES,Approximate,45.145833,7.041667,--:--
3,1 Piemonte FM,Costigliole d'Asti (AT),R5a,R5a,,145.737500,DUP-,0.600000,FM,82.5 ,TONE,82.5Hz,YES,Approximate,44.812500,8.208333,--:--
3,1 Piemonte FM,Bagnolo Piemonte (CN),R6,R6,,145.750000,DUP-,0.600000,FM,82.5 ,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,M.Moncucco (VCO),R6,R6,,145.750000,DUP-,0.600000,FM,67.0,TONE,67.0Hz,YES,Approximate,46.104167,8.291667,--:--
3,1 Piemonte FM,Fracconalto (AL),R6a,R6a,,145.762500,DUP-,0.600000,FM,162.2,TONE,162.2Hz,YES,Approximate,44.604167,8.875000,--:--
3,1 Piemonte FM,Sestriere (TO),R6a,R6a,,145.762500,DUP-,0.600000,FM,107.2,TONE,107.2Hz,YES,Approximate,44.979167,6.875000,--:--
3,1 Piemonte FM,Torino,R6a,R6a,,145.762500,DUP-,0.600000,FM,67.0,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
3,1 Piemonte FM,M.Mottarone (VCO),R6a,R6a,,145.762500,DUP-,0.600000,FM,88.5,OFF,88.5Hz,YES,Approximate,45.854167,8.458333,--:--
3,1 Piemonte FM,Stazzano (AL),R7,R7,,145.775000,DUP-,0.600000,FM,82.5 ,TONE,82.5Hz,YES,Approximate,44.729167,8.875000,--:--
3,1 Piemonte FM,Trontano (VCO),RU1,RU1,,430.025000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,46.104167,8.291667,--:--
3,1 Piemonte FM,Mornasco (AL),RU2a,RU2a,,430.062500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.645833,8.791667,--:--
3,1 Piemonte FM,Mondovi' (CN),RU3,RU3,,430.075000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.354167,7.791667,--:--
3,1 Piemonte FM,Asti ,RU5,RU5,,430.125000,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.895833,8.208333,--:--
3,1 Piemonte FM,Corio (TO),RU6,RU6,,430.150000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.354167,7.541667,--:--
3,1 Piemonte FM,M. Mottarone (VCO),RU6a,RU6a,,430.162500,DUP+,1.600000,FM,127.3,TONE,127.3Hz,YES,Approximate,45.895833,8.458333,--:--
3,1 Piemonte FM,Novi Ligure (AL),RU7,RU7,,430.175000,DUP+,1.600000,FM,82.5 ,TONE,82.5Hz,YES,Approximate,44.770833,8.791667,--:--
3,1 Piemonte FM,La Morra (CN),RU8a,RU8a,,430.212500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.645833,7.958333,--:--
3,1 Piemonte FM,M.Moncucco (VCO),RU8a,RU8a,,430.212500,DUP+,1.600000,FM,127.3,TONE,127.3Hz,YES,Approximate,46.104167,8.291667,--:--
3,1 Piemonte FM,Acqui Terme (AL),RU9,RU9,,430.225000,DUP+,1.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,44.604167,8.375000,--:--
3,1 Piemonte FM,Perosa Argentina (TO),RU10,RU10,,430.250000,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.937500,7.208333,--:--
3,1 Piemonte FM,Serravalle (CN),RU10a,RU10a,,430.262500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.562500,8.041667,--:--
3,1 Piemonte FM,Sampeyre (CN),RU11,RU11,,430.275000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.562500,7.208333,--:--
3,1 Piemonte FM,Neviglie (CN),RU11a,RU11a,,430.287500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.687500,8.125000,--:--
3,1 Piemonte FM,Roccabruna (CN),RU12 ,RU12 ,,430.300000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.479167,7.291667,--:--
3,1 Piemonte FM,Angrogna - Val Pellice (TO),RU12a,RU12a,,430.312500,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.854167,7.208333,--:--
3,1 Piemonte FM,Asti,RU13a,RU13a,,430.337500,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.895833,8.208333,--:--
3,1 Piemonte FM,Loazzolo (AT),RU13a,RU13a,,430.337500,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.687500,8.291667,--:--
3,1 Piemonte FM,Belforte M.to (AL),RU14a,RU14a,,430.362500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.604167,8.625000,--:--
3,1 Piemonte FM,Bagnolo Piemonte-Montoso (CN),RU,RU,,430.425000,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,Colle di Rucas (CN),RU,RU,,430.450000,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.604167,8.291667,--:--
3,1 Piemonte FM,Bagnolo Piemonte (CN),RU,RU,,430.600000,DUP+,5.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,44.770833,7.291667,--:--
3,1 Piemonte FM,Torino,RU,RU,,430.612500,DUP+,5.000000,FM,67.0,TONE,67.0Hz,YES,Approximate,45.104167,7.708333,--:--
3,1 Piemonte FM,M.Malanotte  (CN),RU,RU,,430.650000,DUP+,5.000000,FM, ,OFF,88.5Hz,YES,Approximate,44.270833,7.791667,--:--
3,1 Piemonte FM,Mombaruzzo (AT),RU,RU,,430.787500,DUP+,5.000000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.770833,8.458333,--:--
3,1 Piemonte FM,Celle-Villardora (TO),RU16a,RU16a,,431.237500,DUP+,1.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.145833,7.375000,--:--
3,1 Piemonte FM,Acqui Terme (AL),RU24,RU24,,431.425000,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,44.687500,8.458333,--:--
3,1 Piemonte FM,Coniolo (AL),RU25a,RU25a,,431.462500,DUP+,1.600000,FM,82.5,TONE,82.5Hz,YES,Approximate,45.145833,8.375000,--:--
3,1 Piemonte FM,M.Mottarone (VCO),RU28,RU28,,431.525000,DUP+,1.600000,FM,67.0,TONE,67.0Hz,YES,Approximate,45.895833,8.458333,--:--
3,1 Piemonte FM,Ovada (AL),T,T,,435.212500,OFF,0.000000,FM,110.9,TONE,110.9Hz,YES,Approximate,44.604167,8.625000,--:--
